##### TRACK CONTEXT vs INFILLING STATS #####
Filename | Context Mean | Context Std. Dev. | Context Max | Context Min | Infilling Mean | Infilling Std. Dev. | Infilling Max | Infilling Min
track0_infill_bars5_9_generationtime_5.611167669296265.midi | 3.00 | 0.71 | 4 | 2 | 2.75 | 0.43 | 3 | 2
track0_infill_bars5_9_generationtime_5.694825649261475.midi | 3.00 | 0.71 | 4 | 2 | 2.75 | 0.43 | 3 | 2
track0_infill_bars5_9_generationtime_6.112812042236328.midi | 3.00 | 0.71 | 4 | 2 | 2.75 | 0.43 | 3 | 2
track0_infill_bars6_10_generationtime_5.439635753631592.midi | 2.50 | 0.50 | 3 | 2 | 2.50 | 0.50 | 3 | 2
track0_infill_bars6_10_generationtime_5.5206780433654785.midi | 2.50 | 0.50 | 3 | 2 | 2.25 | 0.43 | 3 | 2
track0_infill_bars6_10_generationtime_5.9779980182647705.midi | 2.50 | 0.50 | 3 | 2 | 3.00 | 0.00 | 3 | 3
track0_infill_bars74_78_generationtime_7.175053834915161.midi | 2.25 | 0.66 | 4 | 2 | 2.00 | 0.00 | 2 | 2
track0_infill_bars74_78_generationtime_7.434039831161499.midi | 2.25 | 0.66 | 4 | 2 | 2.00 | 0.00 | 2 | 2
track0_infill_bars74_78_generationtime_9.674030065536499.midi | 2.25 | 0.66 | 4 | 2 | 2.25 | 0.43 | 3 | 2
track0_infill_bars76_80_generationtime_4.856992721557617.midi | 2.38 | 0.70 | 4 | 2 | 2.00 | 0.00 | 2 | 2
track0_infill_bars76_80_generationtime_5.028993606567383.midi | 2.38 | 0.70 | 4 | 2 | 3.00 | 1.00 | 4 | 2
track0_infill_bars76_80_generationtime_5.2039954662323.midi | 2.38 | 0.70 | 4 | 2 | 3.00 | 1.00 | 4 | 2
track0_infill_bars92_96_generationtime_6.537856578826904.midi | 3.00 | 0.71 | 4 | 2 | 2.50 | 0.50 | 3 | 2
track0_infill_bars92_96_generationtime_6.567126750946045.midi | 3.00 | 0.71 | 4 | 2 | 3.50 | 0.50 | 4 | 3
track0_infill_bars92_96_generationtime_6.625631332397461.midi | 3.00 | 0.71 | 4 | 2 | 3.00 | 0.00 | 3 | 3
track1_infill_bars105_109_generationtime_20.097963333129883.midi | 0.75 | 0.43 | 1 | 0 | 1.00 | 0.00 | 1 | 1
track1_infill_bars105_109_generationtime_6.3288469314575195.midi | 0.75 | 0.43 | 1 | 0 | 1.00 | 0.00 | 1 | 1
track1_infill_bars105_109_generationtime_9.192710399627686.midi | 0.75 | 0.43 | 1 | 0 | 2.50 | 0.87 | 3 | 1
track1_infill_bars136_140_generationtime_10.95158576965332.midi | 1.75 | 0.43 | 2 | 1 | 2.00 | 0.71 | 3 | 1
track1_infill_bars136_140_generationtime_15.61214566230774.midi | 1.75 | 0.43 | 2 | 1 | 1.50 | 0.50 | 2 | 1
track1_infill_bars136_140_generationtime_6.330535173416138.midi | 1.75 | 0.43 | 2 | 1 | 1.00 | 0.00 | 1 | 1
track1_infill_bars19_23_generationtime_10.30029559135437.midi | 0.00 | 0.00 | 0 | 0 | 1.75 | 0.43 | 2 | 1
track1_infill_bars19_23_generationtime_5.841757774353027.midi | 0.00 | 0.00 | 0 | 0 | 2.50 | 0.50 | 3 | 2
track1_infill_bars19_23_generationtime_6.679826498031616.midi | 0.00 | 0.00 | 0 | 0 | 2.00 | 0.00 | 2 | 2
track1_infill_bars44_48_generationtime_11.288651466369629.midi | 1.75 | 0.43 | 2 | 1 | 1.75 | 0.43 | 2 | 1
track1_infill_bars44_48_generationtime_18.544511079788208.midi | 1.75 | 0.43 | 2 | 1 | 2.00 | 0.00 | 2 | 2
track1_infill_bars44_48_generationtime_18.8559992313385.midi | 1.75 | 0.43 | 2 | 1 | 1.50 | 0.50 | 2 | 1
track1_infill_bars44_48_generationtime_26.40181565284729.midi | 1.75 | 0.43 | 2 | 1 | 1.75 | 0.43 | 2 | 1
track1_infill_bars44_48_generationtime_6.112382650375366.midi | 1.75 | 0.43 | 2 | 1 | 1.50 | 0.50 | 2 | 1
track1_infill_bars44_48_generationtime_8.532719850540161.midi | 1.75 | 0.43 | 2 | 1 | 2.25 | 0.43 | 3 | 2
track1_infill_bars47_51_generationtime_8.15099310874939.midi | 2.00 | 0.00 | 2 | 2 | 1.50 | 0.50 | 2 | 1
track1_infill_bars47_51_generationtime_8.285994052886963.midi | 2.00 | 0.00 | 2 | 2 | 1.75 | 0.43 | 2 | 1
