Summary Statistics:
Average Score: 0.37
Minimum Score: 0.00
Maximum Score: 1.00

Filename | content_preservation_score | similarities 
89311ace045df825ca6cf3b69938d19d_track0_infill_bars68_70_context_2_generationtime_0.6923232078552246.mid | 0.12 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28867513459481287, 0.1290994448735805, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1290994448735805, 0.28867513459481287, 0.4522670168666454, 0.4522670168666454, 0.4522670168666454, 0.4522670168666454, 0.4160251471689218, 0.3638034375544994, 0.2626128657194451, 0.13867504905630723, 0.0]
03364ec5b9c4fe07ff2ffb8242487cca_track3_infill_bars4_6_context_2_generationtime_0.3793671131134033.mid | 0.41 | [0.7071067811865475, 0.7071067811865476, 0.7071067811865475, 0.6290726586625999, 0.5620966514974752, 0.46657005799521944, 0.3422824679537746, 0.23153617990359887, 0.11302193654985793, 0.06686326780645824, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09331401159904384, 0.2513772645346727, 0.5, 0.7397552862266418, 0.8624678791240861, 0.9238795322791504, 0.9448714170675798, 0.9675382211016779, 0.9400861071594919, 0.8944271909999159, 0.7071067805972918, 0.4472135946055307, 0.2425356244656609, 0.0, 0.0]
06b049657bcdf22d8c85f054509a17b5_track0_infill_bars44_46_context_2_generationtime_0.8497328758239746.mid | 0.47 | [0.5, 0.7559289460184545, 0.6324555320336759, 0.554700196225229, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.544974746945106, 0.586145048056033, 0.6106481816928606, 0.6035533904416234, 0.5604174086902126, 0.49352407931483255, 0.42071067793619266, 0.35355339059327373, 0.35355339059327373, 0.35355339059327373, 0.35355339059327373, 0.35355339059327373, 0.35355339059327373, 0.35355339059327373, 0.35355339059327373, 0.35355339059327373, 0.3922322702763681, 0.447213595499958, 0.2672612419124245]
b43dfe60a3220912634a7c9c26a63ad9_track6_infill_bars12_14_context_2_generationtime_0.8772485256195068.mid | 0.14 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21009834207842515, 0.3144924896883863, 0.3389136222326956, 0.2665507719856428, 0.24209033055764562, 0.25731249656726973, 0.21085619180972537, 0.13726294675667372, 0.08688473951541653, 0.17160367976764412, 0.13692176417507684, 0.1244960868303635, 0.1122268836607545, 0.21293134027456673, 0.3615265308504997, 0.4309650738692137, 0.47123568422412754, 0.37265572208837905]
aa32bc368ba97e0bb0105f8ee5079c74_track4_infill_bars36_38_context_2_generationtime_1.4697821140289307.mid | 0.20 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3700534379923994, 0.5807554302849244, 0.6625910619680905, 0.6704417939435173, 0.6189788406665568, 0.635058890872517, 0.6189788406665568, 0.6149430061090455, 0.555169328686252, 0.4903524336055185, 0.3233808340000054, 0.1454785934906616, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
a01bf9dc3c220bbc5f04f5de8bb4ea14_track0_infill_bars12_14_context_2_generationtime_0.5092923641204834.mid | 0.43 | [0.0, 0.15478204486653424, 0.28077092560261097, 0.2827472655871486, 0.24357045574714187, 0.25420266439147277, 0.24923385614090376, 0.24357045574714187, 0.24357045574714187, 0.1424495647908255, 0.04125986407492399, 0.0, 0.0, 0.0, 0.048912698764685514, 0.14237558542599538, 0.26882808384879864, 0.47384480244672544, 0.6662031745577046, 0.8020183004409862, 0.8666413324040577, 0.9339695018220314, 0.9312855890864816, 0.9167255226716502, 0.9038504040171033, 0.8479375382041565, 0.7351632980898182, 0.679624355206995, 0.6700022702380213, 0.6459316401579686, 0.604262422986302, 0.5251813318126057]
47c4d9e0c63515b20f4b34e3e2938a9a_track2_infill_bars48_50_context_2_generationtime_0.8648331165313721.mid | 0.20 | [0.18736555080740513, 0.1811151988759554, 0.40625996026924827, 0.5762271463668265, 0.6945841023839603, 0.45841117060159386, 0.6073071061085211, 0.5895211930233922, 0.5237538314066541, 0.5272803916149463, 0.32599004435592394, 0.14586196019542552, 0.0, 0.0, 0.0, 0.04861976551445546, 0.16133566877784766, 0.18095009354026592, 0.19685736717143443, 0.2346811998320022, 0.2150139511442518, 0.15163010138149835, 0.1086120059110981, 0.02561355696973866, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
803677084e775b32d25ea2d8314975a3_track0_infill_bars28_30_context_2_generationtime_0.8584275245666504.mid | 0.13 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7071067811865475, 0.7071067811865475, 0.6324555320336758, 0.5, 0.3922322702763681, 0.3922322702763681, 0.3162277660168379, 0.2626128657194451, 0.11624763874381927, 0.0, 0.10482848367219177, 0.11952286093343933, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
5c64b2fd2ee3ab7148fbd07a8cc26f63_track2_infill_bars8_10_context_2_generationtime_0.9938979148864746.mid | 0.21 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28867513459481287, 0.28867513459481287, 0.28867513459481287, 0.2699440822102639, 0.2853697937287951, 0.2952525864801385, 0.30210897188916797, 0.38869418462663985, 0.38869418462663985, 0.40501476970997974, 0.40501476970997974, 0.3426036231953943, 0.3426036231953943, 0.3426036231953943, 0.3426036231953943, 0.27357999903010943, 0.27357999903010943, 0.324835750930373, 0.29061994523336143, 0.2735838483645241, 0.20436498698087235]
c67b3046962d58921601d9a4d8b116db_track2_infill_bars8_10_context_2_generationtime_0.5137722492218018.mid | 0.44 | [0.0, 0.0, 0.0, 0.0, 0.7071067811865476, 1.0, 0.9999999999999999, 0.9822902576991375, 0.9523198085146832, 0.9238795322791504, 0.900015716466855, 0.874932306686538, 0.8119247865210342, 0.734043965032758, 0.6423318222812316, 0.6054041624825374, 0.5585904810645665, 0.4955240225271943, 0.4395280525018497, 0.36071099487461633, 0.27669793906147455, 0.19166229563263038, 0.11030881486358401, 0.04080479303416762, 0.04050735422931406, 0.082229134668383, 0.1275437650821285, 0.16857550400401222, 0.21113346224944396, 0.2385949343375232, 0.2712259407584008, 0.3098045217942751]
