Summary Statistics:
Average Score: 0.37
Minimum Score: 0.00
Maximum Score: 1.00

Filename | content_preservation_score | similarities 
8770153ee35cdf90c71793cc9a523950_track0_infill_bars16_18_context_2_generationtime_0.4847872257232666.mid | 0.60 | [0.9951333266643525, 0.9929871942626499, 0.9913410932849991, 0.9900605964487601, 0.9890433156734895, 0.9851026648456589, 0.9805806756909202, 0.9840188599702602, 0.985184359821606, 0.9839850007721916, 0.9857273395473711, 0.9850660667047575, 0.9819443446940967, 0.9756178250670192, 0.9730470030180393, 0.9641258166741319, 0.9160631163310551, 0.8252676951309255, 0.7031620485089096, 0.5493371941068381, 0.37681049476803685, 0.18783073018432495, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
685966a42476b676b8382ba8f5904524_track1_infill_bars16_18_context_2_generationtime_0.32659006118774414.mid | 0.14 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.316227766016838, 0.5, 0.5883484054145521, 0.5669467095138409, 0.7807200583588265, 0.9128709291752768, 0.9733285267845753, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
eeb3b7f3459a8ec5c89ba7091bfeca38_track9_infill_bars32_34_context_2_generationtime_0.7043709754943848.mid | 0.38 | [0.5191330518437239, 0.626342823485797, 0.5794044137611575, 0.4840596185522288, 0.42242319613260637, 0.6321993494726466, 0.8118045029072335, 0.9279561433126192, 0.9332694269442873, 0.8327864634150884, 0.5220410243396815, 0.234284310874187, 0.0, 0.055355472307950015, 0.10032869913121634, 0.06871547342433582, 0.05374284051805989, 0.13842952178652457, 0.1161115125036426, 0.0927453877920339, 0.14103449872448248, 0.20826449713364248, 0.2517024245304812, 0.34010506972275634, 0.3470820966722439, 0.43714672162711965, 0.5402278821137259, 0.4423723317630608, 0.3022546944930946, 0.3221423318742528, 0.3296979131254367, 0.37081985332058354]
79b9069b3c0712951b5d08b79d68331e_track1_infill_bars52_54_context_2_generationtime_1.0845272541046143.mid | 0.37 | [0.19388613358800522, 0.22593103775735923, 0.21354586748852755, 0.2188691148502342, 0.19165632468736937, 0.17721239450847381, 0.19995079676499683, 0.19995079676499683, 0.2037256415578299, 0.18635538169838184, 0.2037256415578298, 0.212686493438623, 0.32862927462732106, 0.5304393657133881, 0.6705164300962535, 0.7603951803787887, 0.755482522729659, 0.6633310383398622, 0.691995177416834, 0.5392194744066919, 0.36025827779771835, 0.3613364306092972, 0.3613364306092972, 0.3613364306163802, 0.3756364312419813, 0.38179609907158507, 0.3769150313253098, 0.3769150313253097, 0.3956282003074084, 0.39883687026286196, 0.4018394804100811, 0.41180111064639324]
21484a8b04c4135d3526641e70f1aca0_track4_infill_bars24_26_context_2_generationtime_1.313258409500122.mid | 0.22 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5815224637273272, 0.3365567702095581, 0.09431175658537505, 0.39526178857885363, 0.5197460981709507, 0.5436329604240046, 0.5299162865263057, 0.5998133059709769, 0.5503493661360626, 0.5265151047116642, 0.4737076433265295, 0.5325264789871736, 0.5047516514213847, 0.484623274380403, 0.2997336492932319, 0.13363062118384017, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
54dea68f0916f10865500abfcbf241f8_track0_infill_bars20_22_context_2_generationtime_0.4382011890411377.mid | 0.16 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19069251784911845, 0.18257418583505536, 0.057735026918962595, 0.0, 0.0, 0.0, 0.33333333333333326, 0.6666666666666666, 0.8635020557922259, 0.7736915168168533, 0.7736915168168532, 0.6933863385801009, 0.6933863385801009, 0.0, 0.0, 0.0, 0.0]
aaf3fda5f66c04bc556b722f9b457f0b_track8_infill_bars100_102_context_2_generationtime_0.6649923324584961.mid | 0.03 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33333333333333326, 0.0, 0.0, 0.0, 0.16169041669088868, 0.13245323570650436, 0.11162911443718948, 0.09622504486493766, 0.04508348173337162, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
7bc2a8343e3fd237e57af7e8e475dec9_track1_infill_bars4_6_context_2_generationtime_0.3802032470703125.mid | 0.32 | [1.0, 1.0, 1.0, 0.9486832980505139, 0.9486832980505138, 0.816496580927726, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.48507125007266594, 0.5144957554275265, 0.5039526306789697, 0.6499336836196815, 0.5976143046671968, 0.4588314677411235, 0.2860387767736776, 0.22821773229381925, 0.0, 0.0, 0.0, 0.02411626894056451, 0.0, 0.13862798729523917, 0.14401366573643304, 0.1503465339692147, 0.14100687978937898, 0.09037794217343631]
b3deffce36f70bd37ca3cb7d71b2e3bc_track17_infill_bars60_62_context_2_generationtime_1.423764705657959.mid | 0.84 | [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.994975803696766, 0.9784154999431725, 0.9486894870073904, 0.9054286681542681, 0.8498557773588191, 0.7846477032769942, 0.7133481993049926, 0.6396021490668313, 0.6396021490668313, 0.6396021490668313, 0.6396021490668313, 0.6396021490668313, 0.6396021490668313, 0.6396021490668313, 0.6396021490668313, 0.6396021490668313, 0.6396021490668313, 0.6396021490668312, 0.6396021490668313]
5a1d15711222e4b4ebbee0f8fabca3d4_track4_infill_bars28_30_context_2_generationtime_0.7015817165374756.mid | 0.39 | [0.7071067811865475, 0.6655122647608235, 0.5656854252806089, 0.46354008140855374, 0.3904147607728785, 0.44318465277893404, 0.44811674714518657, 0.35574564985569745, 0.22139275923281065, 0.2823774049737212, 0.25206117045154786, 0.19349446135272164, 0.17441355048138074, 0.2490495537152888, 0.408248290463863, 0.5883484054145521, 0.7071067811865476, 0.8488746876392923, 0.900000000075, 0.8488746878518675, 0.7071067816284893, 0.5144957560580359, 0.3162277667283504, 0.14142135623730945, 0.0, 0.0, 0.0, 0.04700620813873169, 0.17441355048138074, 0.2292590815486104, 0.3049434191789844, 0.40578849118264493]
9a46cd0e4b6e87429f02629f9282c1a9_track0_infill_bars12_14_context_2_generationtime_0.2751588821411133.mid | 0.47 | [0.0, 0.23529411764705888, 0.3999999999999999, 0.5237229365663818, 0.5773502691896258, 0.6659120918162917, 0.7071067811865476, 0.6201736729460423, 0.408248290463863, 0.22917462425705282, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13867504905630734, 0.28867513459481287, 0.46153846153846145, 0.5773502691896258, 0.6659120918162917, 0.7071067811865476, 0.681385143869247, 0.6324555320336759, 0.7669649888473704, 0.8485281374238569, 0.970725343394151, 0.9999999999999999, 1.0, 1.0, 1.0]
428e3d6cfec087cff6c6f725641c4fb8_track4_infill_bars28_30_context_2_generationtime_1.131387710571289.mid | 0.21 | [0.7314676046566062, 0.5608968060809421, 0.42565189484778543, 0.3408122013522521, 0.33255042341481755, 0.11159000583777479, 0.11159000583777479, 0.11159000583777479, 0.11183545350720214, 0.08224793773890249, 0.15516907308383998, 0.0, 0.0, 0.16753390996064155, 0.16753390996064155, 0.1763877069135369, 0.1814986779300075, 0.2150868499495069, 0.17331774786788512, 0.121391228029193, 0.12292923422192692, 0.12155418024080156, 0.12017345355644904, 0.12168520169639463, 0.11786645287429198, 0.0727447122980246, 0.1487093763560764, 0.15282611360853016, 0.2735708161613961, 0.3344381171503379, 0.4186890840444184, 0.5009179159566266]
33b2107872b4a995c62f82b4c8954715_track6_infill_bars4_6_context_2_generationtime_0.8282039165496826.mid | 0.49 | [0.9394470376025789, 0.9394470376025787, 0.9394470376025789, 0.9394470376025789, 0.9394470376025789, 0.9082622170937318, 0.8409862191496761, 0.6510938627758284, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7777215426805856, 0.7633823237629208, 0.7189589765426553, 0.6451960204448555, 0.5484768678726727, 0.4706164829443866, 0.45372359435811194, 0.38575837509810906, 0.41545752522458446, 0.43292529661949897, 0.4339248911453114, 0.4193060217880207, 0.4326352695586113, 0.42630732164288154, 0.4026804178620149, 0.36919297056248956, 0.3561464619146435, 0.0, 0.0]
59fb8a91afef6a771a18385e55e8fda4_track2_infill_bars4_6_context_2_generationtime_0.6338911056518555.mid | 0.49 | [0.9822902576991375, 0.9083194271291319, 0.8075916564177765, 0.7071067811865476, 0.6187154009755514, 0.4285699217582227, 0.24665800855241315, 0.09136364613867665, 0.0, 0.0, 0.0, 0.09136364613867665, 0.24665800855241304, 0.5902664486908333, 0.8289073834871294, 0.9625859431298552, 0.9999604472924967, 0.9697346878108108, 0.8749676054081228, 0.7687532282651455, 0.7071067811865475, 0.7071067811865475, 0.6368706836136476, 0.5447293198894553, 0.5078591685790381, 0.4979059636049483, 0.43749785565436616, 0.3338838393691269, 0.20863858976002547, 0.09088683344772253, 0.0, 0.0]
dcd046b058c52f09e9c2d6a4e527b001_track3_infill_bars68_70_context_2_generationtime_1.1342942714691162.mid | 0.48 | [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8561478487014411, 0.8561478487014411, 0.7314889935776969, 0.5535541083113471, 0.41084087954814796, 0.42185804492913936, 0.5201880030122318, 0.49089563326460783, 0.5569241707696441, 0.6873717434021944, 0.7650277168375699, 0.8670582412961919, 0.9122615581745759, 0.9163965059770979, 0.916396506003165, 0.9411461359678907, 0.9570960905541674, 0.9375122947754199, 0.8470953309081666, 0.6666666666666666, 0.408248290463863]
1c99d0d6298b3c55c3ad4cc4a009e04b_track5_infill_bars64_66_context_2_generationtime_0.6887469291687012.mid | 0.76 | [0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9707253433941511, 0.9707253433941511, 0.9707253433941511, 0.9707253433941511, 0.8660254037844386, 0.8660254037844386, 0.6933752452815364, 0.5000000000000001, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5000000000000001, 0.5000000000000001, 0.5, 0.5, 0.5]
