Original: Average=0.4811, Std=0.2790
Infilled: Average=0.4668, Std=0.2849

Filename	PV Original	PV Infilled
f1a239164b5bfd08f7e15dbfeea384b7_track3_infill_bars8_10_context_2_generationtime_0.6174039840698242.mid	1.0000	0.1852
a0a6046da9f5705dc0be866922fd0d22_track5_infill_bars52_54_context_2_generationtime_1.3087990283966064.mid	0.5556	0.8333
2e11f9b8f3f7596b2188ab16541f30db_track5_infill_bars4_6_context_2_generationtime_0.5567076206207275.mid	0.6087	0.5625
45d8bfaf78fd128bc5c28a7b855b0fa7_track3_infill_bars100_102_context_2_generationtime_3.5685012340545654.mid	0.4444	0.3500
e7b4d0139e3f9591742fb64d8c4244db_track0_infill_bars4_6_context_2_generationtime_0.46566176414489746.mid	0.6667	0.1250
3df2d68601ee2d810ca05ac61c0cd5e8_track11_infill_bars68_70_context_2_generationtime_0.3977186679840088.mid	0.4706	0.2857
482189928cebf644354f30ea8b21521b_track6_infill_bars24_26_context_2_generationtime_5.41378116607666.mid	1.0000	1.0000
8276d5083e6c88fda281b8a44486f8a9_track0_infill_bars48_50_context_2_generationtime_0.4965338706970215.mid	0.8462	0.5000
db980d99809d7a540d56c2828e828713_track2_infill_bars48_50_context_2_generationtime_0.4190058708190918.mid	0.5385	0.5000
4a9a35202940b13d12a0777276891143_track3_infill_bars112_114_context_2_generationtime_0.5984659194946289.mid	0.3704	0.5714
78eba37219ffb7ec0a2da27d455badd3_track3_infill_bars36_38_context_2_generationtime_0.8338258266448975.mid	0.8889	1.0000
cdd90f4a57359bca6cb85f0ff7948143_track8_infill_bars80_82_context_2_generationtime_0.861910343170166.mid	1.0000	0.0938
392ed2fd34fa21356d3f26c71a476fd8_track0_infill_bars16_18_context_2_generationtime_1.3384549617767334.mid	0.0962	0.1923
4bff21c17a38b600a5880af015a44d9f_track5_infill_bars24_26_context_2_generationtime_0.6821165084838867.mid	0.8889	0.6250
53d7095fe85fbc8b92e312037af18fc4_track3_infill_bars68_70_context_2_generationtime_0.7441666126251221.mid	0.8750	0.8571
33be95cce6b29acb67862ef964ebfd0a_track12_infill_bars52_54_context_2_generationtime_1.0911810398101807.mid	0.3333	0.6000
5a13d541bb7b2de8c31c94e04ba5fa94_track0_infill_bars40_42_context_2_generationtime_1.0568723678588867.mid	0.1000	0.5833
ecf6d9d849687fcc2a53d2c8d553e914_track0_infill_bars40_42_context_2_generationtime_1.6755175590515137.mid	0.0552	0.2157
9565f5ead9a2627e63bbc8360ebc50b7_track2_infill_bars12_14_context_2_generationtime_0.436572790145874.mid	0.1667	0.2857
48192c7be9e7fe07b883f511fd355daf_track5_infill_bars8_10_context_2_generationtime_0.7617619037628174.mid	0.4211	0.6667
c21b679eac4425a4f3e51999f64d7a2a_track0_infill_bars36_38_context_2_generationtime_1.3784043788909912.mid	0.6667	0.1875
8770153ee35cdf90c71793cc9a523950_track0_infill_bars16_18_context_2_generationtime_0.4847872257232666.mid	0.8333	0.4444
685966a42476b676b8382ba8f5904524_track1_infill_bars16_18_context_2_generationtime_0.32659006118774414.mid	0.3000	1.0000
eeb3b7f3459a8ec5c89ba7091bfeca38_track9_infill_bars32_34_context_2_generationtime_0.7043709754943848.mid	0.5500	0.5385
79b9069b3c0712951b5d08b79d68331e_track1_infill_bars52_54_context_2_generationtime_1.0845272541046143.mid	0.0933	0.0794
21484a8b04c4135d3526641e70f1aca0_track4_infill_bars24_26_context_2_generationtime_1.313258409500122.mid	0.8824	0.2333
54dea68f0916f10865500abfcbf241f8_track0_infill_bars20_22_context_2_generationtime_0.4382011890411377.mid	0.7000	0.4000
aaf3fda5f66c04bc556b722f9b457f0b_track8_infill_bars100_102_context_2_generationtime_0.6649923324584961.mid	0.8333	0.1250
7bc2a8343e3fd237e57af7e8e475dec9_track1_infill_bars4_6_context_2_generationtime_0.3802032470703125.mid	0.4545	0.2857
b3deffce36f70bd37ca3cb7d71b2e3bc_track17_infill_bars60_62_context_2_generationtime_1.423764705657959.mid	0.8750	0.0312
5a1d15711222e4b4ebbee0f8fabca3d4_track4_infill_bars28_30_context_2_generationtime_0.7015817165374756.mid	0.8333	0.5556
9a46cd0e4b6e87429f02629f9282c1a9_track0_infill_bars12_14_context_2_generationtime_0.2751588821411133.mid	0.5556	0.4444
428e3d6cfec087cff6c6f725641c4fb8_track4_infill_bars28_30_context_2_generationtime_1.131387710571289.mid	0.1441	0.3158
33b2107872b4a995c62f82b4c8954715_track6_infill_bars4_6_context_2_generationtime_0.8282039165496826.mid	0.6429	0.8333
59fb8a91afef6a771a18385e55e8fda4_track2_infill_bars4_6_context_2_generationtime_0.6338911056518555.mid	0.6667	1.0000
dcd046b058c52f09e9c2d6a4e527b001_track3_infill_bars68_70_context_2_generationtime_1.1342942714691162.mid	0.7143	0.4375
1c99d0d6298b3c55c3ad4cc4a009e04b_track5_infill_bars64_66_context_2_generationtime_0.6887469291687012.mid	0.1667	0.1667
