##### TRACK CONTEXT vs INFILLING STATS #####
Filename | Context Mean | Context Std. Dev. | Context Max | Context Min | Infilling Mean | Infilling Std. Dev. | Infilling Max | Infilling Min
track0_infill_bars55_59_generationtime_9.159095048904419.midi | 4.00 | 0.00 | 4 | 4 | 8.00 | 4.32 | 14 | 4
track0_infill_bars5_9_generationtime_5.611167669296265.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track0_infill_bars5_9_generationtime_5.694825649261475.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track0_infill_bars5_9_generationtime_6.112812042236328.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track0_infill_bars6_10_generationtime_5.439635753631592.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track0_infill_bars6_10_generationtime_5.5206780433654785.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track0_infill_bars6_10_generationtime_5.9779980182647705.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track0_infill_bars74_78_generationtime_7.175053834915161.midi | 4.75 | 1.49 | 8 | 4 | 5.00 | 1.15 | 6 | 4
track0_infill_bars74_78_generationtime_7.434039831161499.midi | 4.75 | 1.49 | 8 | 4 | 3.75 | 0.50 | 4 | 3
track0_infill_bars74_78_generationtime_9.674030065536499.midi | 4.75 | 1.49 | 8 | 4 | 9.00 | 2.16 | 12 | 7
track0_infill_bars76_80_generationtime_4.856992721557617.midi | 5.75 | 1.98 | 8 | 4 | 4.00 | 0.00 | 4 | 4
track0_infill_bars76_80_generationtime_5.028993606567383.midi | 5.75 | 1.98 | 8 | 4 | 5.75 | 1.71 | 8 | 4
track0_infill_bars76_80_generationtime_5.2039954662323.midi | 5.75 | 1.98 | 8 | 4 | 6.50 | 1.91 | 8 | 4
track0_infill_bars92_96_generationtime_6.537856578826904.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track0_infill_bars92_96_generationtime_6.567126750946045.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
